Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Lou Ambers,4,3,0,1,1940-05-10,0.0
Baltasar Sangchili,4,2,2,1,1936-06-29,0.0
Rene Gabes,0,1,0,1,1935-06-22,0.0
Carmelo Candel,0,1,0,0,,
Sixto Escobar,7,2,3,0,,
Lou Salica,7,4,1,1,1943-03-10,0.0
Nicolas Petit-Biquet,0,1,0,1,1935-08-31,0.0
Benny Lynch,5,0,4,0,,
Small Montana,2,2,0,1,1940-12-02,0.0
Babe Risko,2,2,0,0,,
George Godfrey,1,0,0,0,,
Pierre Charles,0,1,0,0,,
Al Roth,0,1,0,0,,
Vernon Cormier,0,1,0,0,,
John Henry Lewis,6,1,2,1,1939-01-25,0.0
Tuffy Pierpont,0,1,0,0,,
Kid Davidt,0,1,0,0,,
Tony Fisher,0,1,0,0,,
Petey Sarron,3,2,0,1,1937-10-29,0.0
Jock McAvoy,0,1,0,0,,
Tony Marino,1,1,1,1,1936-08-31,0.0
Freddie Steele,6,1,3,1,1938-07-26,0.0
Baby Manuel,0,1,0,0,,
Heinz Lazek,0,1,0,0,,
Dave Crowley,0,1,0,1,1936-09-03,0.0
Pat Palmer,0,1,0,1,1936-09-16,0.0
Adolf Witt,0,1,0,0,,
Indian Quintana,0,1,0,1,1936-11-13,0.0
Izzy Jannazzo,0,1,0,0,,
Ernst Weiss,0,1,0,0,,
Merlo Preciso,0,1,0,0,,
John Andersson,0,1,0,0,,
Joe Louis,27,1,22,0,,
Tommy Farr,0,1,0,0,,
Ken Overlin,3,2,0,1,1937-09-11,60.0
Harry Jeffra,3,4,0,1,1942-06-19,0.0
Pedro Montanez,0,2,0,1,1940-01-24,0.0
Fred Apostoli,2,1,2,1,1939-10-02,0.0
Ceferino Garcia,2,3,2,0,,
Maurice Holtzer,1,0,0,0,,
Phil Dolhem,0,1,0,0,,
Peter Kane,1,2,0,2,1937-10-13,33.33333333333333
Henry Armstrong,22,3,16,1,1941-01-17,0.0
Jupp Besselmann,0,1,0,0,,
Felix Wouters,1,0,0,0,,
Gustav Eder,0,1,0,0,,
Carmen Barth,0,1,0,1,1938-02-19,0.0
Nathan Mann,0,1,0,1,1938-02-23,0.0
Harry Thomas,0,1,0,1,1938-04-01,0.0
Emilio Martinez,0,1,0,1,1938-04-25,0.0
Jackie Jurich,0,3,0,2,1938-06-29,0.0
Al Hostak,3,3,3,2,1940-07-19,0.0
Joey Archibald,4,2,0,1,1941-09-11,0.0
Al Gainer,0,1,0,0,,
Solly Krieger,1,1,0,1,1939-06-27,0.0
Al Manfredo,0,2,0,2,1938-12-05,0.0
Melio Bettina,1,3,1,0,,
Tiger Jack Fox,0,1,0,1,1939-02-03,0.0
Bobby Pacho,0,2,0,2,1939-03-04,0.0
Davey Day,0,2,0,1,1939-03-31,0.0
KO Morgan,0,1,0,1,1939-04-02,0.0
Jack Roper,0,1,0,1,1939-04-17,0.0
Leo Rodak,0,1,0,0,,
Ernie Roderick,0,1,0,0,,
Tony Galento,0,1,0,1,1939-06-28,0.0
Billy Conn,4,2,0,2,1941-06-18,0.0
Bob Pastor,0,1,0,1,1939-09-20,0.0
Howard Scott,0,1,0,1,1939-10-13,0.0
Richie Fontaine,0,1,0,1,1939-10-20,0.0
Jimmy Garrison,0,2,0,1,1939-12-11,0.0
Tony Olivera,0,2,0,0,,
Gus Lesnevich,6,4,3,0,,
Erich Seelig,0,1,0,1,1939-12-11,0.0
Glen Lee,0,1,0,1,1939-12-23,0.0
Joe Ghnouly,0,1,0,1,1940-01-04,0.0
Arturo Godoy,0,2,0,1,1940-06-20,0.0
Johnny Paychek,0,1,0,1,1940-03-29,0.0
Paul Junior,0,2,0,2,1940-04-26,0.0
Sammy Angott,4,1,0,0,,
Lew Jenkins,2,1,2,0,,
Petey Scalzo,2,1,2,1,1941-07-01,0.0
Frankie Covelli,0,1,0,1,1940-05-15,0.0
Ralph Zannelli,0,1,0,1,1940-05-24,0.0
Bobby Ivy,0,1,0,1,1940-07-10,0.0
Tony Zale,6,2,5,1,1947-07-16,33.33333333333333
Spider Armstrong,0,2,0,1,1946-05-03,0.0
Phil Furr,0,1,0,1,1940-09-23,0.0
Georgie Pace,0,1,0,0,,
Fritzie Zivic,2,1,1,0,,
Steve Belloise,0,2,0,0,,
Pete Lello,0,1,0,1,1940-11-22,0.0
Tommy Forte,0,2,0,0,,
Anton Christoforidis,1,1,0,0,,
Red Burman,0,1,0,1,1941-01-31,0.0
Gus Dorazio,0,1,0,1,1941-02-17,0.0
Steve Mamakos,0,1,0,1,1941-02-21,0.0
Abe Simon,0,2,0,2,1941-03-21,0.0
Tony Musto,0,1,0,1,1941-04-08,0.0
Lou Transparenti,0,1,0,0,,
Billy Soose,1,0,0,0,,
Buddy Baer,0,2,0,1,1942-01-09,0.0
Richie Lemos,1,2,1,0,,
Freddie Cochrane,1,1,0,1,1946-02-01,0.0
Tami Mauriello,0,3,0,1,1946-09-18,0.0
Chalky Wright,3,2,2,0,,
Lou Nova,0,1,0,1,1941-09-29,0.0
Jackie Wilson,2,2,0,0,,
Georgie Abrams,0,1,0,0,,
Allie Stolz,0,2,0,1,1946-06-28,0.0
Manuel Ortiz,21,2,11,0,,
Lulu Costantino,0,1,0,0,,
