Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Juan Meza,2,3,2,2,1982-03-27,40.0
Lupe Madera,2,2,0,1,1984-05-19,0.0
Tadashi Tomori,1,2,0,1,1982-11-30,0.0
Charlie Weir,0,1,0,1,1982-04-26,0.0
Rocky Garcia,0,1,0,0,,
Andy Ganigan,0,1,0,1,1982-05-22,0.0
Benedicto Villablanca,0,2,0,1,1983-08-17,0.0
Gerry Cooney,0,2,0,2,1982-06-11,0.0
Jerry Celestine,0,1,0,1,1982-06-12,0.0
Leroy Haley,3,3,0,0,,
ST Gordon,2,1,2,0,,
Akio Kameda,0,2,0,2,1982-07-04,0.0
Masaharu Inami,0,2,0,2,1982-07-07,0.0
Azumah Nelson,18,4,12,1,1982-07-21,81.81818181818183
Mario Miranda,0,1,0,0,,
Chang Jung-Koo,16,4,7,1,1991-05-18,0.0
Sung Nam Kim,0,1,0,0,,
Juan Jose Gimenez,0,1,0,0,,
Miguel Iriarte,0,1,0,1,1982-10-27,0.0
Steve Muchoki,0,1,0,1,1982-11-05,0.0
Eleoncio Mercedes,1,1,0,1,1983-03-15,0.0
Deuk Koo Kim,0,1,0,1,1982-11-13,0.0
Benito Badilla,0,1,0,1,1982-11-13,0.0
Eddie Davis,0,3,0,2,1982-11-20,0.0
Randall Cobb,0,1,0,0,,
Michael Dokes,1,2,1,2,1983-09-23,0.0
Eddie Taylor,0,2,0,1,1984-12-20,0.0
Roger Mayweather,8,5,6,3,1984-02-26,50.0
Gary Guiden,0,1,0,1,1983-01-29,0.0
Pedro Romero,0,1,0,1,1983-01-31,0.0
Tony Sibson,0,3,0,3,1983-02-11,0.0
Donald Curry,9,5,5,3,1987-07-18,20.0
Jun Suk Hwang,0,2,0,0,,
Luis Ibanez,0,1,0,1,1983-02-24,0.0
Ramon Antonio Nery,0,1,0,1,1983-03-04,0.0
Gaby Canizales,2,4,2,0,,
Charlie Magri,1,2,1,1,1983-09-27,0.0
Lucien Rodriguez,0,1,0,0,,
Jorge Alvarado,0,1,0,1,1983-04-20,0.0
Edwin Rosario,7,5,5,3,1984-11-03,44.44444444444444
Jose Luis Ramirez,4,5,2,0,,
Shuichi Hozumi,0,2,0,1,1983-05-05,0.0
Raul Valdez,0,1,0,0,,
Bruce Curry,3,1,1,1,1984-01-29,0.0
Randy Stephens,0,2,0,1,1985-03-30,0.0
Tim Witherspoon,3,3,1,1,1986-12-12,0.0
Wilford Scypion,0,1,0,1,1983-05-27,0.0
Jaime Garza,2,1,2,1,1984-11-03,0.0
Bobby Berna,1,3,0,3,1983-06-15,25.0
Roberto Ramirez,0,1,0,0,,
Johnny De La Rosa,0,2,0,1,1987-10-25,0.0
Hidekazu Akai,0,1,0,1,1983-07-07,0.0
Shin Hi-sup,2,2,2,2,1983-07-17,50.0
Hector Camacho,9,4,2,0,,
Milton McCrory,5,2,3,2,1985-12-06,0.0
Colin Jones,0,2,0,1,1985-01-19,0.0
Roger Stafford,0,1,0,1,1983-09-03,0.0
Scott Frank,0,1,0,1,1983-09-10,0.0
Orlando Romero,0,1,0,1,1983-09-15,0.0
Frank Cedeno,1,2,1,1,1984-01-18,0.0
Kwon Soon-chun,7,3,3,1,1985-12-20,0.0
Orlando Maldonado,0,1,0,1,1983-10-29,0.0
Rafael Solis,0,1,0,1,1983-11-18,0.0
Marvis Frazier,0,1,0,1,1983-11-25,0.0
Oscar Rivadeneyra,0,1,0,1,1983-11-25,0.0
Payao Poontarat,2,2,1,1,1984-11-29,0.0
Suh Sung-in,2,3,2,2,1985-01-03,0.0
Dodie Boy Penalosa,5,3,4,1,1987-09-05,0.0
Satoshi Shingaki,2,3,0,1,1983-12-10,40.0
Chun Ju-do,6,1,6,1,1985-05-03,0.0
Ken Kasugai,0,1,0,1,1983-12-10,0.0
Roddy MacDonald,0,1,0,1,1983-12-13,0.0
Oscar Muniz,0,1,0,1,1983-12-17,0.0
Rene Busayong,0,1,0,1,1983-12-24,0.0
Milton Guest,0,1,0,1,1984-01-14,0.0
Koji Kobayashi,1,1,1,1,1984-04-09,0.0
Johnny Bumphus,1,2,0,2,1984-06-01,0.0
Lorenzo Garcia,0,1,0,0,,
Prayurasak Muangsurin,0,2,0,2,1984-01-28,0.0
Billy Costello,4,1,1,1,1985-08-21,0.0
Charlie Brown,1,2,0,2,1984-04-15,0.0
Melvin Paul,0,1,0,0,,
Marlon Starling,4,3,2,0,,
Luigi Minchillo,0,2,0,1,1984-12-01,0.0
Loris Stecca,1,2,1,2,1984-05-26,0.0
Roger Castillo,0,1,0,0,,
Oh Min-keun,3,1,1,1,1985-11-29,0.0
Joko Arter,0,1,0,1,1984-03-04,0.0
Anthony Davis,0,1,0,0,,
Greg Page,1,2,1,0,,
Mark Medal,1,2,1,1,1986-06-23,0.0
Earl Hargrove,0,1,0,1,1984-03-11,0.0
Celso Chavez,0,1,0,1,1984-03-15,0.0
Diego De Villa,0,1,0,1,1984-03-17,0.0
Ernie Singletary,0,1,0,0,,
Juan Domingo Roldan,0,3,0,2,1987-10-29,0.0
Sot Chitalada,11,4,2,2,1991-02-15,0.0
Richie Sandoval,3,1,2,1,1986-03-10,0.0
Gabriel Bernal,2,2,2,0,,
Elmer Magallano,0,1,0,0,,
Harry Arroyo,3,1,3,0,,
Gilles Elbilia,0,1,0,1,1984-04-15,0.0
Elio Diaz,0,1,0,0,,
Yuh Hwan-kil,2,1,1,0,,
Rod Sequenan,0,2,0,1,1985-04-26,0.0
John Odhiambho,0,1,0,1,1984-05-05,0.0
Jae Hong Kim,0,1,0,1,1984-05-13,0.0
Ian Clyde,0,1,0,0,,
Francisco Quiroz,2,1,2,0,,
Enrique Sanchez,1,3,0,2,1984-05-26,25.0
Victor Callejas,3,1,2,1,1988-03-07,0.0
Felipe Orozco,0,1,0,1,1984-05-26,0.0
Felix Marquez,0,1,0,1,1984-05-26,0.0
Angel Mayor,0,2,0,1,1989-06-16,0.0
Antoine Montero,0,3,0,2,1984-06-01,0.0
Livingstone Bramble,3,1,2,1,1986-09-26,0.0
Gene Hatcher,2,2,1,2,1985-07-21,0.0
Bash Ali,0,3,0,0,,
Kelvin Lampkin,0,1,0,0,,
Tae Jin Moon,0,1,0,1,1984-06-12,0.0
Nick Furlano,0,1,0,0,,
Ronnie Shields,0,2,0,0,,
William Develos,0,1,0,1,1984-07-22,0.0
Park Chong-pal,10,1,7,0,,
Joves De La Puz,0,1,0,0,,
Victor Sierra,0,1,0,1,1984-08-18,0.0
Pinklon Thomas,2,2,1,1,1987-05-30,0.0
Joaquin Flores Caraballo,0,1,0,1,1984-09-07,0.0
Julio Cesar Chavez,31,4,18,2,1996-06-07,0.0
Fred Hutchings,0,1,0,1,1984-09-15,0.0
Sak Galaxy,0,1,0,1,1984-09-16,0.0
Edgar Roman,0,1,0,0,,
Nino La Rocca,0,1,0,1,1984-09-22,0.0
Lee Roy Murphy,4,1,4,1,1986-10-25,0.0
Mike McCallum,13,3,8,0,,
Sean Mannion,0,1,0,0,,
James Smith,1,2,1,1,1984-11-09,33.33333333333333
Choi Jum-hwan,5,3,3,1,1990-02-07,0.0
Khaosai Galaxy,20,0,16,0,,
Eusebio Espinal,0,1,0,1,1984-11-21,0.0
Piet Crous,2,1,1,1,1985-07-27,0.0
Cardenio Ulloa,0,2,0,2,1984-12-15,0.0
Tadashi Kuramochi,0,1,0,0,,
Ubaldo Sacco,1,2,1,0,,
Roy Gumbs,0,1,0,1,1985-01-02,0.0
Kim Ji-won,5,0,4,0,,
Kwang Koo Park,0,1,0,1,1985-01-06,0.0
Terrence Alli,0,3,0,2,1985-01-12,0.0
Chung Jong-kwan,1,3,1,0,,
Kamel Bou Ali,2,2,2,1,1985-01-27,50.0
Lester Ellis,2,1,1,0,,
David Sears,0,2,0,2,1985-02-23,0.0
Gary Hinton,1,2,0,1,1986-10-30,0.0
Dong Chun Lee,0,2,0,2,1985-03-06,0.0
Pedro Vilella,0,1,0,0,,
David Bey,0,1,0,1,1985-03-15,0.0
Ruben Dario Palacio,1,2,1,1,1990-09-11,50.0
Jimmy Paul,4,2,1,1,1992-06-29,0.0
Irving Mitchell,0,2,0,1,1989-09-28,0.0
Shinobu Kawashima,0,1,0,1,1985-04-15,0.0
Jeff Fenech,11,2,5,2,1992-03-01,0.0
Tony Tubbs,1,2,0,1,1988-03-21,0.0
Elly Pical,8,3,4,1,1987-02-28,66.66666666666666
Daniel Zaragoza,14,5,5,3,1990-04-23,66.66666666666666
Fred Jackson,0,1,0,0,,
Julio Soto Solano,0,1,0,0,,
Carl Williams,0,2,0,1,1989-07-21,0.0
Louis Acaries,0,1,0,0,,
Alfonzo Ratliff,1,1,0,0,,
Jim MacDonald,0,2,0,2,1985-06-06,0.0
Barry McGuigan,3,1,1,0,,
Robin Blake,0,1,0,1,1985-06-30,0.0
Vinnie Curto,0,2,0,1,1986-04-11,0.0
Barry Michael,4,1,2,0,,
Carlos Trujillo,0,1,0,1,1985-07-14,0.0
Moon Jin Choi,0,1,0,0,,
David Braxton,0,1,0,1,1985-07-28,0.0
Francisco Montiel,0,2,0,0,,
Miguel Lora,8,3,2,1,1991-03-12,0.0
Lonnie Smith,1,2,1,1,1986-05-05,0.0
Wayne Mulholland,0,1,0,1,1985-08-25,0.0
Juvenal Ordenes,0,1,0,1,1985-09-06,0.0
Kazuo Katsuma,0,1,0,1,1985-09-17,0.0
Bernard Benton,1,1,0,0,,
Dwight Pratchett,0,1,0,0,,
Bernard Taylor,0,2,0,1,1993-10-09,0.0
Alonzo Gonzalez,0,1,0,0,,
Yani Dokolamo,0,1,0,1,1985-10-12,0.0
Chisanda Mutti,0,2,0,2,1985-10-19,0.0
Jin Shik Choi,0,1,0,1,1985-10-19,0.0
Jorge Cano,0,1,0,0,,
Chung Ki-young,3,1,1,1,1986-08-30,0.0
Jerome Coffee,0,1,0,0,,
Yuh Myung-woo,20,1,10,0,,
JB Williamson,1,1,0,0,,
Prince Mama Mohammed,0,1,0,0,,
Suk Hwan Yun,0,1,0,1,1985-12-13,0.0
Slobodan Kacar,1,1,0,1,1986-09-06,0.0
Edgar Monserrat,0,3,0,2,1985-12-23,0.0
Samart Payakaroon,2,2,2,2,1987-05-08,0.0
Javier Lucas,0,1,0,0,,
Wilfredo Vazquez,16,4,9,1,1998-04-18,0.0
Leslie Stewart,1,4,0,4,1986-02-09,20.0
Danilo Cabrera,0,3,0,2,1986-02-15,0.0
Cesar Polanco,1,1,0,1,1986-07-05,0.0
Tyrone Jackson,0,2,0,1,1989-06-18,0.0
Tyrone Crawley,0,1,0,1,1986-02-16,0.0
Marcos Villasana,4,4,3,0,,
Jose de Jesus,4,2,2,0,,
Eduardo Rodriguez,0,1,0,1,1986-03-09,0.0
John Mugabi,1,4,1,4,1986-03-10,20.0
Patrizio Oliva,3,2,1,1,1987-07-04,0.0
Gilberto Roman,12,3,2,1,1987-05-16,66.66666666666666
Dorcy Gaymon,0,1,0,1,1986-04-19,0.0
Reyes Antonio Cruz,0,1,0,0,,
Jung Bi-won,1,1,0,1,1986-08-02,0.0
Dennis Andries,6,3,3,2,1987-03-07,57.14285714285714
Rene Arredondo,2,2,2,2,1986-07-24,33.33333333333333
Faustino Martire Barrios,0,1,0,1,1986-05-15,0.0
Richard Savage,0,1,0,0,,
Mark Fernandez,0,1,0,1,1986-05-23,0.0
Alfredo Layne,1,1,1,1,1986-09-27,0.0
Rudy Casicas,0,1,0,1,1986-06-01,0.0
Bernardo Pinango,5,1,2,0,,
Irleis Perez,0,1,0,0,,
Buster Drayton,3,2,2,1,1988-07-30,0.0
Refugio Rojas,0,1,0,1,1986-06-13,0.0
Tomohiro Kiyuna,0,1,0,1,1986-06-14,0.0
Steve Cruz,1,3,0,2,1987-03-06,0.0
Evander Holyfield,16,7,8,0,,
Steve McCrory,0,1,0,0,,
Ruben Condori,0,1,0,0,,
Frank Bruno,1,4,0,4,1986-07-19,20.0
Tsuyoshi Hamada,2,1,1,1,1987-07-22,0.0
Michael Greer,0,2,0,2,1986-08-10,0.0
Darryl Tyson,0,2,0,0,,
Najib Daho,0,1,0,0,,
Julian Jackson,10,4,8,4,1986-08-23,71.42857142857143
Antonio Rivera,1,5,1,3,1988-01-23,0.0
Steffen Tangstad,0,1,0,1,1986-09-06,0.0
Bobby Czyz,7,3,4,0,,
Brian Brunette,0,1,0,1,1986-09-06,0.0
Alberto Castro,0,2,0,1,1989-07-29,0.0
Marvin Mack,0,1,0,0,,
Jean Marie Emebe,0,2,0,2,1986-09-20,0.0
Brian Mitchell,12,0,4,0,,
Lloyd Honeyghan,6,3,4,2,1989-02-04,0.0
Ciro De Leva,0,1,0,1,1986-10-04,0.0
Ricky Parkey,2,1,2,1,1987-05-15,0.0
Said Skouma,0,2,0,2,1986-10-25,0.0
Joe Manley,1,1,1,1,1987-03-04,0.0
Israel Contreras,3,2,3,2,1986-11-01,60.0
Simon Skosana,0,2,0,1,1986-11-22,0.0
Henry Brent,0,1,0,1,1986-11-22,0.0
Mike Tyson,12,4,10,3,1990-02-11,33.33333333333333
Mario Alberto Demarco,0,2,0,0,,
Greg Haugen,5,4,1,1,1993-02-20,0.0
Duane Thomas,1,2,1,1,1988-01-03,0.0
Claudemir Carvalho Dias,0,1,0,0,,
Cho Woon Park,0,2,0,0,,
Hideyuki Ohashi,3,4,1,3,1986-12-14,42.857142857142854
Kongtoranee Payakaroon,0,2,0,0,,
Louie Espinoza,4,3,4,0,,
Tommy Valoy,0,1,0,1,1987-01-16,0.0
Doug Sam,0,1,0,1,1987-01-25,0.0
Frankie Duarte,0,2,0,1,1989-08-31,0.0
Mark Breland,6,2,6,2,1987-08-22,71.42857142857143
Fidel Bassa,6,1,2,0,,
Henry Tillman,0,1,0,1,1987-02-14,0.0
Angelo Rottoli,0,1,0,0,,
Willie Edwards,0,1,0,1,1987-02-21,0.0
Eduardo Tunon,0,1,0,1,1987-03-01,0.0
Terry Marsh,2,0,2,0,,
Antonio Esparragoza,7,1,6,0,,
Mauro Gutierrez,0,1,0,1,1987-03-07,0.0
Takuya Muguruma,1,2,1,2,1987-05-24,0.0
Azael Moran,0,1,0,1,1987-03-29,0.0
Tacy Macalos,1,3,0,1,1989-10-06,0.0
Jorge Urbina Diaz,0,1,0,1,1987-04-05,0.0
Francisco Tomas da Cruz,0,1,0,1,1987-04-18,0.0
Maurice Blocker,3,4,0,3,1991-03-18,40.0
Efren Pinto,0,1,0,1,1987-04-19,0.0
Dave McAuley,6,3,1,1,1987-04-25,66.66666666666666
Lindell Holmes,4,3,1,1,1991-05-18,0.0
Kelvin Seabrooks,4,2,1,0,,
Miguel Maturana,0,1,0,1,1987-05-15,0.0
Chang Tae-il,1,2,0,1,1989-01-15,0.0
Park Chan-yong,1,2,1,1,1987-10-04,0.0
Tony Tucker,1,4,1,1,1997-06-28,0.0
Buster Douglas,1,2,1,2,1987-05-30,33.33333333333333
Benedicto Murillo,0,1,0,1,1987-06-07,0.0
Vinny Pazienza,2,6,1,1,1995-06-24,0.0
Lee Kyung-Yung,1,3,1,2,1988-01-31,0.0
Masaharu Kawakami,0,1,0,1,1987-06-14,0.0
Matthew Hilton,2,2,0,0,,
Agustin Garcia,0,2,0,2,1987-06-28,0.0
Thierry Jacob,1,5,0,4,1988-11-11,20.0
Juan Martin Coggi,13,3,8,0,,
Toshihiko Matsuda,0,1,0,1,1987-07-05,0.0
Greg Richardson,2,3,0,1,1987-07-10,40.0
Lupe Aquino,1,3,0,1,1993-10-30,0.0
Manuel Vilchez,0,1,0,1,1987-07-15,0.0
Leon Collins,0,1,0,1,1987-07-19,0.0
Pascual Aranda,0,1,0,1,1987-07-26,0.0
Emmanuel Otti,0,1,0,1,1987-07-26,0.0
Francisco Fernandez,0,1,0,1,1987-07-31,0.0
Sugar Baby Rojas,2,6,1,0,,
Azadin Anhar,0,1,0,1,1987-08-09,0.0
Juan Nazario,1,2,0,2,1987-08-11,33.33333333333333
Choi Chang-ho,1,2,1,1,1988-10-09,0.0
Rae Ki Ahn,0,1,0,1,1987-09-05,0.0
Virgil Hill,24,5,7,0,,
Rodolfo Blanco,1,4,0,2,1987-09-20,20.0
Gianfranco Rosi,13,2,3,1,1994-09-17,0.0
Daniel Londas,1,3,0,1,1991-11-22,33.33333333333333
Frank Tate,2,4,1,1,1988-07-28,0.0
Michael Olajide,0,2,0,0,,
Byung Kwan Jung,0,1,0,1,1987-10-12,0.0
Tyrell Biggs,0,1,0,1,1987-10-16,0.0
Jack Callahan,0,1,0,0,,
Hiroki Ioka,5,7,1,4,1989-06-10,33.33333333333333
Mai Thomburifarm,0,1,0,0,,
Sumbu Kalambay,4,3,1,1,1989-03-25,0.0
Iran Barkley,3,6,2,1,1990-08-18,40.0
Jorge Vaca,1,2,0,2,1988-03-29,0.0
Charles Williams,9,2,5,1,1994-07-29,0.0
Ernie Cataluna,0,1,0,0,,
Rufino Angulo,0,2,0,1,1988-10-21,0.0
Baek In-Chul,3,2,2,2,1987-11-21,60.0
Ray Minus,0,3,0,1,1990-09-02,0.0
Donny Lalonde,2,2,2,1,1988-11-07,0.0
Julio Gervacio,1,3,0,0,,
Jesus Gallardo,0,1,0,1,1987-12-06,0.0
Isidro Perez,3,3,1,0,,
Felix Marti,0,1,0,0,,
Salvatore Curcetti,0,1,0,0,,
Jose Sanabria,4,2,3,0,,
Leo Gamez,7,8,6,2,1999-09-03,25.0
Kim Bong-Jun,6,4,3,0,,
Rolando Bohol,2,2,0,2,1988-10-05,0.0
Jose Maria Flores Burlon,0,1,0,0,,
Calvin Grove,2,4,1,1,1989-03-30,0.0
Hideaki Kamishiro,0,1,0,0,,
Fujio Ozaki,0,2,0,1,1989-12-10,0.0
Fernando Beltran,0,3,0,0,,
Willy Salazar,0,2,0,0,,
Buddy McGirt,5,3,2,1,1988-09-03,50.0
Frankie Warren,0,1,0,1,1988-02-14,0.0
Raul Ernesto Diaz,0,1,0,0,,
Polly Pasireron,0,1,0,1,1988-03-01,0.0
Graciano Rocchigiani,5,5,2,0,,
Vincent Boulware,0,3,0,3,1988-03-11,0.0
Pernell Whitaker,19,3,4,0,,
Samuth Sithnaruepol,2,1,1,0,,
Pretty Boy Lucas,0,3,0,1,1988-03-24,0.0
Mauricio Aceves,2,2,1,1,1988-03-24,50.0
Harold Knight,0,1,0,0,,
Miguel Santana,0,1,0,0,,
Rodolfo Aguilar,0,2,0,1,1988-04-16,0.0
Simon Brown,11,5,8,2,1995-04-29,0.0
Tyrone Trice,0,3,0,2,1988-04-23,0.0
Kenji Yokozawa,0,1,0,1,1988-04-24,0.0
Jose Rivera,0,2,0,1,1993-04-10,0.0
Lucio Omar Lopez,0,2,0,0,,
Sang Ho Lee,0,1,0,1,1988-05-07,0.0
Khaokor Galaxy,2,2,0,1,1989-10-18,0.0
Myron Taylor,0,1,0,0,,
Moises Fuentes Rocha,0,1,0,1,1988-05-21,0.0
Juan Jose Estrada,4,1,2,0,,
Nicky Walker,0,1,0,0,,
Ramzi Hassan,0,2,0,1,1988-12-03,0.0
Harold Brazier,0,2,0,0,,
Richard Caramanolis,0,1,0,1,1988-06-10,0.0
Robbie Sims,0,2,0,0,,
Lupe Suarez,0,2,0,2,1988-06-25,0.0
Orlando Canizales,16,1,3,0,,
Yoshiyuki Uchida,0,1,0,1,1988-07-09,0.0
Tony Lopez,9,4,3,2,1989-10-07,55.55555555555556
Kim Yong-kang,6,4,1,1,1990-09-29,50.0
Michael Nunn,11,4,6,1,1991-05-10,55.55555555555556
Young Kil Jung,0,2,0,1,1988-07-29,0.0
Jorge Paez,7,4,3,1,1994-07-29,0.0
Tyrone Downes,0,1,0,1,1988-08-12,0.0
Moon Sung-kil,13,2,7,0,,
Vincenzo Belcastro,0,3,0,0,,
Putt Ohyuthanakorn,0,1,0,1,1988-08-28,0.0
In Kyu Hwang,0,1,0,0,,
Meldrick Taylor,6,4,1,4,1990-03-17,42.857142857142854
Ki Chang Kim,0,1,0,0,,
Kiyoshi Hatanaka,1,2,1,0,,
Fabrice Benichou,3,5,1,2,1988-09-26,37.5
Ray Medel,0,1,0,0,,
Duke McKenzie,6,4,3,2,1992-05-13,25.0
Chris Reid,0,1,0,1,1988-10-07,0.0
Mauro Martelli,0,2,0,1,1989-10-13,0.0
John John Molina,11,5,7,1,1998-05-09,0.0
Gert Bo Jacobsen,1,2,0,1,1988-10-28,33.33333333333333
Raul Perez,8,3,3,2,1992-03-27,0.0
Jim McDonnell,0,2,0,1,1989-11-05,0.0
James Kinchen,0,3,0,2,1989-10-24,0.0
Robert Hines,1,1,0,0,,
Jose Marmolejo,0,1,0,1,1988-11-05,0.0
Udin Baharudin,0,1,0,1,1988-11-06,0.0
Doug DeWitt,2,2,0,2,1988-11-08,50.0
Willie Featherstone,0,1,0,1,1988-11-11,0.0
Emil Romano,0,1,0,0,,
Napa Kiatwanchai,3,3,1,2,1989-11-12,0.0
Valerio Nati,1,2,0,2,1988-11-26,33.33333333333333
Jimmy Navarro,0,1,0,1,1988-11-29,0.0
Georgie Navarro,0,1,0,1,1988-11-30,0.0
Michael Moorer,15,2,11,1,1994-11-05,60.0
John David Jackson,7,2,2,2,1994-12-10,0.0
Sidnei Dal Rovere,0,1,0,1,1988-12-10,0.0
Soon Jung Kang,0,1,0,0,,
Victor Claudio,0,1,0,1,1989-01-14,0.0
John Wesley Meekins,0,1,0,0,,
Thulani Malinga,2,5,0,0,,
Maurizio Stecca,5,2,2,1,1989-11-11,60.0
Pedro Nolasco,0,1,0,0,,
Maurizio Lupino,0,1,0,1,1989-02-03,0.0
Seung Soon Lee,0,1,0,1,1989-02-04,0.0
Darrin Van Horn,3,3,2,1,1992-01-10,0.0
John Arief,0,2,0,1,1989-10-22,0.0
Salvatore Bottiglieri,0,1,0,1,1989-02-11,0.0
Rene Jacquot,1,3,0,1,1989-07-08,0.0
Katsumi Komiyama,0,1,0,1,1989-02-12,0.0
Jorge Maysonet,0,1,0,1,1989-02-18,0.0
Chiaki Kobayashi,0,1,0,1,1989-02-19,0.0
Frankie Swindell,0,2,0,1,1989-02-19,0.0
Tony Willis,0,1,0,1,1989-02-21,0.0
Mike Phelps,0,1,0,0,,
Francisco de Jesus,0,1,0,1,1989-02-25,0.0
Elvis Alvarez,2,2,0,0,,
Miguel Mercedes,0,1,0,0,,
Leopard Tamakuma,1,2,1,0,,
Tony DeLuca,0,1,0,1,1989-03-08,0.0
Lee Yul-Woo,2,2,1,1,1990-07-29,0.0
Taoufik Belbouli,1,0,1,0,,
Mitsuru Sugiya,0,1,0,1,1989-03-26,0.0
Jesus Poll,0,1,0,1,1989-04-04,0.0
Kenji Matsumura,0,4,0,2,1989-10-31,0.0
Julio Gudino,0,1,0,1,1989-04-15,0.0
Freddie Delgado,0,2,0,2,1989-04-22,0.0
Steve Little,1,2,0,1,1989-04-22,33.33333333333333
Rafael Pineda,2,2,2,1,1989-04-22,50.0
Al Long,0,1,0,1,1989-04-27,0.0
Kenny Mitchell,2,1,0,0,,
Jose Ruiz,5,2,3,0,,
Akinobu Hiranaka,1,2,1,1,1992-09-09,0.0
Louie Lomeli,0,1,0,1,1989-04-30,0.0
Muangchai Kittikasem,8,3,5,3,1990-07-29,57.14285714285714
Francesco Damiani,2,1,2,1,1991-01-11,0.0
Johnny Du Plooy,0,1,0,1,1989-05-06,0.0
Amancio Castro,0,1,0,0,,
Genaro Leon,1,1,1,0,,
Danny Garcia,7,4,2,1,1989-05-06,63.63636363636363
Herol Graham,0,3,0,2,1990-11-24,0.0
Sammy Reeson,0,1,0,1,1989-05-17,0.0
Fernando Martinez,2,2,0,1,1993-05-15,66.66666666666666
Joe Lasisi,0,1,0,1,1989-05-27,0.0
Jean Marc Renard,0,1,0,1,1989-06-02,0.0
Glenn McCrory,2,2,1,1,1990-03-22,0.0
Patrick Lumumba,0,1,0,0,,
Juan Carazo,0,2,0,1,1989-09-09,0.0
Fransie Badenhorst,0,1,0,1,1989-06-10,0.0
Nico Thomas,1,2,0,2,1989-09-21,0.0
Paul Banke,2,3,2,1,1990-11-05,0.0
Jeff Harding,6,2,3,1,1990-07-28,60.0
Humberto Gonzalez,15,3,7,3,1990-12-19,75.0
Jackie Beard,0,2,0,0,,
Anthony Jones,0,2,0,1,1989-07-09,0.0
Luis Mendoza,5,6,3,0,,
Terry Norris,19,6,13,4,1989-07-30,76.0
Sam Joong Lee,0,1,0,0,,
Oscar Bejines,0,1,0,1,1989-08-30,0.0
Rafael Torres,2,1,0,1,1993-11-28,0.0
Yamil Caraballo,0,2,0,1,1994-12-10,0.0
Courtney Hooper,0,2,0,0,,
Jose Mario Lopez,0,1,0,1,1989-09-16,0.0
Bobby Joe Young,0,1,0,1,1989-09-20,0.0
Eric Chavez,1,3,1,1,1990-02-22,0.0
Eduardo Montoya,0,1,0,1,1989-09-22,0.0
Kenbun Taiho,0,1,0,1,1989-09-24,0.0
Jesus Rojas,2,5,0,0,,
Ramon Cruz,0,2,0,1,1990-06-02,0.0
Ron Essett,0,3,0,1,1989-10-08,0.0
Juan Polo Perez,1,2,0,0,,
Luisito Espinosa,11,3,5,1,1991-10-19,72.72727272727273
Siza Makathini,0,2,0,2,1989-10-21,0.0
Angel Rosario,0,2,0,2,1989-10-21,0.0
Diego Avila,0,1,0,0,,
Tom Collins,0,2,0,0,,
Troy Waters,0,3,0,0,,
Nana Konadu,4,4,3,1,1991-03-16,50.0
Luis Santana,2,2,0,1,1995-08-19,0.0
Jeff Thompson,0,1,0,1,1989-11-16,0.0
Sammy Fuentes,2,2,1,1,1996-03-09,0.0
Robert Daniels,2,1,0,0,,
Boone Pultz,1,1,0,1,1990-05-17,0.0
Magne Havna,3,1,1,0,,
Lupe Gutierrez,0,2,0,2,1989-12-09,0.0
Jesus Salud,1,5,0,0,,
Manning Galloway,7,2,0,0,,
Veabro Boykin,0,1,0,0,,
Daniel Eduardo Neto,0,2,0,1,1989-12-16,0.0
Alberto Cortes,0,2,0,2,1989-12-16,0.0
Mike Sedillo,0,2,0,1,1989-12-22,0.0
Yoshiaki Tajima,0,1,0,0,,
Hisashi Tokushima,0,1,0,1,1990-01-14,0.0
Jeung Jae Lee,0,1,0,1,1990-01-19,0.0
Billy Hardy,0,3,0,1,1997-05-03,0.0
Ric Siodora,0,1,0,0,,
Marcellus Allen,0,1,0,0,,
Freddie Pendleton,2,5,0,3,1996-05-18,0.0
Steve Collins,9,2,5,0,,
Troy Dorsey,1,2,1,0,,
Petchthai Chuvatana,0,1,0,1,1990-02-10,0.0
Thongchai Utaida,7,3,3,1,2004-05-15,0.0
David Vedder,0,4,0,0,,
Welcome Ncita,7,3,2,1,1992-12-02,0.0
Louis Curtis,0,1,0,0,,
Nestor Hipolito Giovannini,2,2,0,2,1990-03-18,50.0
Jeff Lampkin,2,0,2,0,,
Francisco Tejedor,1,3,1,2,1990-03-24,25.0
Ari Blanca,0,1,0,1,1990-03-29,0.0
Christophe Tiozzo,3,2,3,2,1991-04-05,0.0
Abdi Pohan,0,3,0,1,1990-11-10,0.0
Michael Watson,0,3,0,2,1990-04-14,0.0
Kevin Daigle,0,1,0,1,1990-04-14,0.0
Robert Quiroga,6,1,0,1,1993-01-16,0.0
Mario Melo,0,1,0,1,1990-04-28,0.0
Nigel Benn,11,4,7,2,1990-11-18,69.23076923076923
Carlos Salazar,7,5,2,0,,
Alli Galvez,0,4,0,2,1990-05-05,0.0
Gerardo Martinez,0,3,0,2,1990-05-07,0.0
Chan Mok Park,0,1,0,0,,
Orlando Fernandez,1,2,1,1,1996-07-14,0.0
Silverio Barcenas,0,2,0,0,,
Hurley Snead,0,2,0,0,,
Paul Hodkinson,4,3,3,3,1990-06-02,57.14285714285714
Luis Monzote,0,1,0,1,1990-06-04,0.0
Paul Gonzales,0,1,0,0,,
